division_rank,first_name,last_name,alias,region,division,conservative_rating,mu,sigma,ordinal,matches_played,percentage_of_best
4295,Mattias,Valdenäs,,SWE,Production,-6.24,15.23,25.51,-61.29,3,-10.56
4296,Lennart,Lindgren,,SWE,Production,-6.24,17.88,28.66,-68.1,1,-10.57
4297,Patrik,Kinnunen,,SWE,Production,-6.27,15.23,25.54,-61.4,3,-10.61
4298,Boris,Skoow,,SWE,Production,-6.28,20.58,31.92,-75.16,1,-10.63
4299,Rickard,Lennkvist,,SWE,Production,-6.28,15.27,25.61,-61.56,3,-10.64
4300,Robert,Hoffman,,SWE,Production,-6.29,17.77,28.58,-67.98,2,-10.65
4301,Lars,Sundvisson,,SWE,Production,-6.29,22.51,34.23,-80.17,1,-10.65
4302,Ebba,Silfverhjelm,,SWE,Production,-6.3,18.71,29.73,-70.46,1,-10.67
4303,Tobias,Svedberg,tobiass,SWE,Production,-6.31,15.7,26.16,-62.78,3,-10.69
4304,Torbjörn,Tuwesson,quantumsatis,SWE,Production,-6.32,16.73,27.39,-65.44,3,-10.7
4305,Patrik,Holm,geminusalpha,SWE,Production,-6.35,14.79,25.12,-60.58,8,-10.76
4306,Jonas,Kraft,,SWE,Production,-6.36,18.45,29.48,-70.0,1,-10.77
4307,Anders,Rothman,rothman,SWE,Production,-6.37,25.15,37.45,-87.19,1,-10.78
